number,X value
1,7.0
2,6.99
3,6.97
4,6.96
5,6.94
6,6.92
7,6.91
8,6.89
9,6.88
10,6.87
11,6.85
12,6.83
13,6.82
14,6.8
15,6.79
16,6.78
17,6.76
18,6.75
19,6.73
20,6.71
21,6.7
22,6.68
23,6.67
24,6.66
25,6.64
26,6.62
27,6.61
28,6.59
29,6.58
30,6.57
31,6.55
32,6.54
33,6.52
34,6.5
35,6.49
36,6.47
37,6.46
38,6.45
39,6.43
40,6.42
41,6.4
42,6.38
43,6.37
44,6.36
45,6.34
46,6.33
47,6.31
48,6.29
49,6.28
50,6.26
51,6.25
52,6.24
53,6.22
54,6.21
55,6.19
56,6.17
57,6.16
58,6.14
59,6.13
60,6.12
61,6.1
62,6.08
63,6.07
64,6.05
65,6.04
66,6.03
67,6.01
68,6.0
69,5.98
70,5.96
71,5.95
72,5.94
73,5.92
74,5.91
75,5.89
76,5.88
77,5.86
78,5.84
79,5.83
80,5.81
81,5.8
82,5.79
83,5.77
84,5.75
85,5.74
86,5.72
87,5.71
88,5.7
89,5.68
90,5.67
91,5.65
92,5.63
93,5.62
94,5.61
95,5.59
96,5.58
97,5.56
98,5.54
99,5.53
100,5.52
101,5.5
102,5.49
103,5.47
104,5.46
105,5.44
106,5.42
107,5.41
108,5.39
109,5.38
110,5.37
111,5.35
112,5.33
113,5.32
114,5.3
115,5.29
116,5.28
117,5.26
118,5.25
119,5.23
120,5.21
121,5.2
122,5.19
123,5.17
124,5.16
125,5.14
126,5.12
127,5.11
128,5.09
129,5.08
130,5.07
131,5.05
132,5.04
133,5.02
134,5.0
135,4.99
136,4.97
137,4.96
138,4.95
139,4.93
140,4.92
141,5.0
142,4.97
143,4.9
144,4.77
145,4.58
146,4.33
147,4.0
148,3.57
149,3.0
150,2.18
